meanBFI_1,meanBFI_2,meanBFI_3
40.7622206591868,25.6090191131676,30.738195046333
46.8654780988872,22.4680735329654,26.2328316994296
84.0017427139736,22.2995333224953,29.5384814025012
100.817112872767,24.8197861052527,30.1426578435019
89.6739084862721,24.1166111476177,37.0609833960811
83.7081775565191,22.4984142822892,28.8498093580576
56.7833716684165,23.540852453064,36.9187040737542
56.9695233974722,19.3417618460165,25.5396327298796
45.1812291110249,19.8670822746813,27.8376855467246
53.9372997192237,24.3374560731749,29.3963164185515
49.92786582058,22.9773347985269,23.9956565901849
46.8415486619337,24.8568939187199,25.6244607852969
39.3714525669661,19.5182996861158,25.7119808843164
40.4287217295439,25.5069601551966,29.3280907260854
41.7178917537811,20.0674414119702,28.3634490534814
37.004552068568,24.2406192503642,29.4853710499892
45.2567653157025,21.4186678642956,25.7093378553085
39.038409171059,22.1075060005355,28.566230300195
41.3705944515075,22.8290331199963,29.1503193487335
47.6488494751303,22.0171367860759,24.7732431822539
40.6782533691746,22.7983150894516,30.877154803037
43.0326050278426,20.0138187166713,31.1661618396156
43.5310016820216,23.043646111006,24.8809726654489
34.6865288603283,20.1264046447015,27.7519362494368
31.8797445715055,20.9710852572667,30.8972095063055
31.8075177315527,21.3704781144855,27.079255175024
29.0687023246505,24.8927996444155,25.8471101786882
37.2689005240394,19.3183831240082,32.0431042946515
27.9298159903521,24.4278777297195,26.3116246937149
31.3856707094792,24.0093016359017,29.8641883231745
40.8482539621037,21.5671370017515,26.8515461365149
34.6230238681243,21.1775748619814,27.6059004183553
35.5546694080922,20.668835441912,29.2964627262265
34.3504882526117,23.20677616096,28.2359024953875
35.7985338554923,25.3080655201195,29.3391425849712
41.0765666314327,22.2280866051327,32.6488183938843
30.9761369683505,22.4511364704895,24.1078220061593
25.7806866975722,21.2354374603381,28.7700544114645
33.5215323637938,23.0055772813575,24.1923611234355
33.714851676658,23.3942868852206,26.2735832905754
27.6005992021265,20.8110619197294,29.7017846059122
29.7453775298987,23.2505927677373,22.1660160437861
33.7724199474218,20.5288577078221,26.2311424714936
